Isimler,Soyisimler,TelefonTuru,Departman,Sehir,DogumTarihi,Maas,Telefon,mail,calisanid
ALİ,KANDEMİR,Sabit,Müşteri İlişkileri ve Satış,Kocaeli,22 Nisan 1985,9477,262546z2003,kandemirali@yandex.com,0001
MAHMUT,ÇEVİK,Sabit,Yazılım Geliştirme,İstanbul,02 Mayıs 1979,11331,2128804662,mahmut.çevik@yandex.com,0002
MANSUR,ERKURAN,Vodafone,Yazılım Geliştirme,Ankara,02 Kasım 1979,11679,5488439920,mansur.erkuran@gmail.com,0003
GAMZE,TÜTEN,Vodafone,Yazılım Geliştirme,Bursa,03 Şubat 1987,5206,5427560798,tütengamze@hotmail.com,0004
MİRAÇ,ÖZTÜRK,Türk Telekom,Yazılım Geliştirme,İstanbul,22 Ekim 1987,8670,5544899572,öztürk.miraç@yandex.com,0005
YÜCEL,YÜZBAŞIOĞLU,Vodafone,Yazılım Geliştirme,İstanbul,11 Haziran 1987,5875,5474942563,yücel.yüzbaşioğlu@yandex.com,0006
KUBİLAY,VURAL,Türk Telekom,Yazılım Geliştirme,İstanbul,25 Ekim 1992,5828,5562195198,kubilay.vural@hotmail.com,0007
HAYATİ,YÜCEL,Türk Telekom,Müşteri İlişkileri ve Satış,Bursa,13 Ağustos 1976,13114,5054740860,yücelhayati@hotmail.com,0008
BEDRİYE,SÖNMEZ,Türk Telekom,Yazılım Geliştirme,Kocaeli,21 Şubat 1981,9273,5557051380,sönmez.bedriye@yandex.com,0009
BİRSEN,ERTEKİN,Türk Telekom,Yazılım Geliştirme,İstanbul,17 Mart 1996,5361,5061428811,birsen.ertekin@yandex.com,0010
SERDAL,DEDE,Türk Telekom,Yazılım Geliştirme,İstanbul,17 Aralık 1991,5704,5561323769,dede_serdal@yandex.com,0011
BÜNYAMİN,UYANIK,Türk Telekom,Yazılım Geliştirme,İstanbul,12 Eylül 1986,8004,5065296265,bünyamin_uyanik@yandex.com,0012
ÖZGÜR,ASLAN,Türk Telekom,Müşteri İlişkileri ve Satış,Bursa,21 Kasım 1984,7901,5069914910,özgüraslan@gmail.com,0013
FERDİ,AKBULUT,Vodafone,Müşteri İlişkileri ve Satış,Ankara,30 Mayıs 1989,3546,5497397031,akbulut.ferdi@yahoo.com,0014
REYHAN,ORHON,Türk Telekom,Müşteri İlişkileri ve Satış,Ankara,14 Mart 1988,4052,5555549804,reyhanorhon@gmail.com,0015
İLHAN,UZ,Türk Telekom,Müşteri İlişkileri ve Satış,Ankara,12 Mayıs 1990,5769,5526964160,ilhan.uz@yahoo.com,0016
GÜLŞAH,YAVUZ,Türk Telekom,Yazılım Geliştirme,İstanbul,04 Kasım 1987,8390,5548526924,yavuzgülşah@gmail.com,0017
NALAN,ERDEM,Vodafone,Yazılım Geliştirme,Kocaeli,13 Haziran 1969,14490,5492079331,erdemnalan@hotmail.com,0018
